,authors_full,affiliation
0,"Geim, AK; Novoselov, KS","Univ Manchester, Manchester Ctr Mesosci & Nanotechnol, Manchester M13 9PL, Lancs, England"
1,"Castro Neto, AH; Guinea, F; Peres, NMR; Novoselov, KS; Geim, AK","Boston Univ, Dept Phys, Boston, MA 02215 USA; CSIC, Inst Ciencia Mat, E-28049 Madrid, Spain; Univ Minho, Ctr Phys, P-4710057 Braga, Portugal; Univ Minho, Dept Phys, P-4710057 Braga, Portugal; Univ Manchester, Dept Phys & Astron, Manchester M13 9PL, Lancs, England"
2,"Perdew, JP; Burke, K; Ernzerhof, M","TULANE UNIV,QUANTUM THEORY GRP,NEW ORLEANS,LA 70118"
3,"Novoselov, KS; Geim, AK; Morozov, SV; Jiang, D; Katsnelson, MI; Grigorieva, IV; Dubonos, SV; Firsov, AA","Univ Manchester, Manchester Ctr Mesosci & Nanotechnol, Manchester M13 9PL, Lancs, England; Russian Acad Sci, Inst Microelect Technol, Chernogolovka 142432, Russia; Radboud Univ Nijmegen, Inst Mol & Mat, NL-6525 ED Nijmegen, Netherlands"
4,"Kim, KS; Zhao, Y; Jang, H; Lee, SY; Kim, JM; Kim, KS; Ahn, JH; Kim, P; Choi, JY; Hong, BH","Sungkyunkwan Univ, Dept Chem, Suwon 440746, South Korea; Sungkyunkwan Univ, Sch Adv Mat Sci & Engn, Suwon 440746, South Korea; Sungkyunkwan Univ, SKKU Adv Inst Nanotechnol, Suwon 440746, South Korea; Sungkyunkwan Univ, Ctr Nanotubes & Nanostruct Composites, Suwon 440746, South Korea; Samsung Adv Inst Technol, Suwon 440600, South Korea; Pohang Univ Sci & Technol, Dept Chem, Pohang 790784, South Korea; Columbia Univ, Dept Phys, New York, NY 10027 USA"
5,"Zhang, YB; Tan, YW; Stormer, HL; Kim, P","Columbia Univ, Dept Phys, New York, NY 10027 USA; Columbia Univ, Dept Appl Phys & Appl Math, New York, NY 10027 USA"
6,"Bae, S; Kim, H; Lee, Y; Xu, XF; Park, JS; Zheng, Y; Balakrishnan, J; Lei, T; Kim, HR; Song, YI; Kim, YJ; Kim, KS; Ozyilmaz, B; Ahn, JH; Hong, BH; Iijima, S","Sungkyunkwan Univ, SKKU Adv Inst Nanotechnol SAINT, Suwon 440746, South Korea; Sungkyunkwan Univ, Ctr Human Interface Nano Technol HINT, Suwon 440746, South Korea; Sungkyunkwan Univ, Dept Chem, Suwon 440746, South Korea; Sungkyunkwan Univ, Sch Mech Engn, Suwon 440746, South Korea; Sungkyunkwan Univ, Sch Adv Mat Sci & Engn, Suwon 440746, South Korea; Natl Univ Singapore, NanoCore & Dept Phys, Singapore 117576, Singapore; Natl Univ Singapore, NanoCore & Dept Phys, Singapore 117542, Singapore; Samsung Techwin, Digital & IT Solut Div, Songnam 462807, South Korea; Pohang Univ Sci & Technol, Dept Chem, Ctr Superfunct Mat, Pohang 790784, South Korea; Natl Inst Adv Ind Sci & Technol, Nanotube Res Ctr, Tsukuba, Ibaraki 3058565, Japan; Meijo Univ, Fac Sci & Engn, Nagoya, Aichi 4688502, Japan"
7,"Hasan, MZ; Kane, CL","Princeton Univ, Joseph Henry Labs, Dept Phys, Princeton, NJ 08544 USA; Univ Penn, Dept Phys & Astron, Philadelphia, PA 19104 USA"
8,"Splendiani, A; Sun, L; Zhang, YB; Li, TS; Kim, J; Chim, CY; Galli, G; Wang, F","Univ Calif Berkeley, Dept Phys, Berkeley, CA 94720 USA; Scuola Galileiana Studi Super Padova, I-35122 Padua, Italy; Univ Calif Davis, Dept Chem, Davis, CA 95616 USA; Univ Calif Berkeley, Lawrence Berkeley Lab, Div Mat Sci, Berkeley, CA 94720 USA"
9,"Cao, Y; Fatemi, V; Fang, S; Watanabe, K; Taniguchi, T; Kaxiras, E; Jarillo-Herrero, P","MIT, Dept Phys, Cambridge, MA 02139 USA; Harvard Univ, Dept Phys, Cambridge, MA 02138 USA; Natl Inst Mat Sci, Namiki 1-1, Tsukuba, Ibaraki 3050044, Japan; Harvard Univ, John A Paulson Sch Engn & Appl Sci, Cambridge, MA 02138 USA"
